Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459809.9583817595,29.0,-26.560947950072336,18.037812822239733,0.547221468594858,8.000246518518516,132.10249621294184,-2.804192364874149,-21.500515219664752,23.793007741796586,-1.5707562842083587,0.3538778350848651,6.11,4.62
2459810.2917150925,40.0,-27.001763656459506,18.208537915798537,0.542065739685243,8.000246518518516,132.65711111143415,-2.822506270363474,-22.041313345783873,23.921846937180746,-1.6036953256265027,0.7181881426115212,6.11,4.62
2459810.625048426,51.0,-27.449797220517812,18.385513694366963,0.5368244564868417,7.953643140740739,133.21156793790314,-2.8405505253783776,-22.593228800464402,24.049612783734496,-1.6372594710682389,0.019782341029446364,6.11,4.62
2459810.9583817595,51.0,-27.905345446215485,18.569062878148056,0.5314962011638453,8.000246518518516,133.76617047235334,-2.8583333632746233,-23.15676201872172,24.17620609044372,-1.6714761517635273,0.37586515166080414,6.11,4.62
2459811.2917150925,51.0,-28.368721670512258,18.759531974863478,0.5260794971395034,8.000246518518516,134.32123220768355,-2.8758627570205406,-23.732445147623356,24.301517289910386,-1.7063744777019036,0.7605330429691917,6.11,4.62
2459811.625048426,52.0,-28.840257013705518,18.957293496336984,0.5205728057844771,7.969177599999998,134.87707751784632,-2.893146417235123,-24.320844749160166,24.425425256643116,-1.7419853737157445,0.0,6.11,4.62
2459811.9583817595,46.0,-29.320301686625246,19.162748478667112,0.5149745229775462,8.000246518518516,135.43404281489333,-2.910191814382726,-24.922564717232877,24.54779600715888,-1.7783417437691058,0.40007389883787753,6.11,4.62
2459812.2917150925,44.0,-29.809226453098113,19.376329282845322,0.5092829751918325,8.000246518518516,135.99247790419287,-2.927006146614289,-25.53824955523439,24.668481210717875,-1.815478620188987,0.8096339319758687,6.11,4.62
2459812.625048426,2.0,-30.307424227041523,19.598502731985796,0.5034964153763372,0.7456540444444445,136.55274747526312,-2.943596359100062,-26.168588006104923,24.787316497602944,-1.853433362147254,0.0,6.11,4.62
2459812.9583817595,0,-30.815311781520727,19.82977363427957,0.49761301864174934,0.0,137.11523271526733,-2.9599691323232156,-26.81431704666986,24.904119529194443,-1.8922458548945926,0.4270430378234785,6.11,4.62
2459813.2917150925,18.0,-31.33333163865532,20.07068876243828,0.49163087738643546,3.899149274074074,137.68033312161143,-2.9761308774531314,-27.476226359248834,25.018687804656814,-1.9319587379292258,0.8659235835141363,6.11,4.62
2459813.625048426,56.0,-31.86195418543064,20.321841320867048,0.485547996124605,7.907039762962961,138.24846858498623,-2.992087713997334,-28.155163367593623,25.13079613814102,-1.9726176497970278,0.0,6.11,4.62
